FC_Number,Status,Client_Project,Job_Description,Expected_Start_End,PM,Trucks,Trailers,New_Comments,Previous_Comments_1,Previous_Comments_2
202377,Ongoing Project,Energy Solutions - Dome Patrol,LLOG Dome Patrol Flushing & Testing,2022-03-07 00:00:00,Greg L,,,,3/14 Complete | 3/11 Still have hoses. | 3/9 No udpate. | 3/7 Still need to get equipment back. | 3/4 Finished yesterday. | 3/2 Should finish today or tomorrow. | 2/28 Ongoing today.  Should finish on Wednesday. | 2/25 Started today. | 2/23 Will start Friday. | 2/21 Mbing back out on Friday. | 2/18 will start reflushing next week. | 2/7 Work to start end of Feb. | 2/4 Supposed to start on Monday.  LLOG making some more changes to the skid.  Shouldhave a better update this afternoon but probablyl a few weeks out. | 2/2 Starting testing and flushing next monday. | 1/31 All good with leak test.  Had to make a couple mods to skid.  Should get back to finish between the 9th and 14th. | 1/28 kevin is on his way there now to do a leak check.  Likely happen around 2/9 | 1/26 On for around the 14th.  Want to do a quick leak check. | 1/24 Received update.  Changing tubing now.  Will be ready for us on the 14th. | 1/17 WAiting on LLOG to finalize. | 1/14 Waiting on LLOG to finalize docs for change of tubing.  Probably be back sometime in February. | 1/12 No update | 1/05 Still on standby for fix for tubing. | 12/20 Still on standby. | 12/15 still on standby | 12/10 ON standby.   | 12/8 Same runaround from Swagelok.  Going with a heavier wall tubing. | 12/6 On standby. | 12/3 blew out another piece of tubing.  Looking at options to move forward. | 12/1 Swagelok still looking into issues. | 11/29 Failure again last week.  LLOG and ES are in discussions with Swagelok.   | 11/19 Should start Monday.  Finished up pre-test.  All good. | 11/17 Making up more fittings.  Probably wont be until next week. | 11/15 Kevin and PAt will go to ES tomorrow.  Start on the Shenzi panel and then start back on DP on Wednesday. | 11/12 LLOG asking for ES to put together a torque document for all fittings.  Should go back Wednesday/Thursday of next week. | 11/10 Starting tomorrow. | 11/8 Torquing issue.  Passed a pressure test on Saturday.  Should start back up on Wednesday. | 11/5 Slated to go back next week sometime.  Pat and Greg are going to meet with them in the morninig. | 11/3 Had a meeting yesterday.  Dont really have a plan yet.  WAiting on a report from swagelok.  Will likely change out all FKO fittings | 11/1 Getting kicked back off this morning.  Couple more prressure tests to do and then flush.  ES will SIT Wednesday/ Thursday | 10/29 shipped equipment yesterday.  Started today.  Trying to finish tomorrow. | 10/27 Loading out equipment now |  | 10/25 Starting Thursday or Friday | 10/22 Sent drawings to get reviewed.  Need to finish procedures.  Trying to push to later next week. | 10/202 Working on procedure and drawings.  trying to put together equipment and a crew. | 10/18 3 men crew.  Need to organize with upcoming Entergy work.  Pat and Greg can do this one next week.  Charles P. may be available. | 10/13 Still on track for end of october. | 10/6 Looking llike end of October. | 10/4 Waiting to confirm that it has pushed a couple weeks. | 9/27 LLOG making changes causing to push. | 9/20 added pressure testing.  Create PWP for the work. | 8/25 Likely to push to mid-october.  Serious mods on the skid. | 8/18 September. | 6/28 Changed some things on the skid and pushed to September. | 6/25 no update | 6/18 Pushed to September. | 6/9 In fabrication,3/14 Complete | 3/11 Still have hoses. | 3/9 No udpate. | 3/7 Still need to get equipment back. | 3/4 Finished yesterday. | 3/2 Should finish today or tomorrow. | 2/28 Ongoing today.  Should finish on Wednesday. | 2/25 Started today. | 2/23 Will start Friday. | 2/21 Mbing back out on Friday. | 2/18 will start reflushing next week. | 2/7 Work to start end of Feb. | 2/4 Supposed to start on Monday.  LLOG making some more changes to the skid.  Shouldhave a better update this afternoon but probablyl a few weeks out. | 2/2 Starting testing and flushing next monday. | 1/31 All good with leak test.  Had to make a couple mods to skid.  Should get back to finish between the 9th and 14th. | 1/28 kevin is on his way there now to do a leak check.  Likely happen around 2/9 | 1/26 On for around the 14th.  Want to do a quick leak check. | 1/24 Received update.  Changing tubing now.  Will be ready for us on the 14th. | 1/17 WAiting on LLOG to finalize. | 1/14 Waiting on LLOG to finalize docs for change of tubing.  Probably be back sometime in February. | 1/12 No update | 1/05 Still on standby for fix for tubing. | 12/20 Still on standby. | 12/15 still on standby | 12/10 ON standby.   | 12/8 Same runaround from Swagelok.  Going with a heavier wall tubing. | 12/6 On standby. | 12/3 blew out another piece of tubing.  Looking at options to move forward. | 12/1 Swagelok still looking into issues. | 11/29 Failure again last week.  LLOG and ES are in discussions with Swagelok.   | 11/19 Should start Monday.  Finished up pre-test.  All good. | 11/17 Making up more fittings.  Probably wont be until next week. | 11/15 Kevin and PAt will go to ES tomorrow.  Start on the Shenzi panel and then start back on DP on Wednesday. | 11/12 LLOG asking for ES to put together a torque document for all fittings.  Should go back Wednesday/Thursday of next week. | 11/10 Starting tomorrow. | 11/8 Torquing issue.  Passed a pressure test on Saturday.  Should start back up on Wednesday. | 11/5 Slated to go back next week sometime.  Pat and Greg are going to meet with them in the morninig. | 11/3 Had a meeting yesterday.  Dont really have a plan yet.  WAiting on a report from swagelok.  Will likely change out all FKO fittings | 11/1 Getting kicked back off this morning.  Couple more prressure tests to do and then flush.  ES will SIT Wednesday/ Thursday | 10/29 shipped equipment yesterday.  Started today.  Trying to finish tomorrow. | 10/27 Loading out equipment now |  | 10/25 Starting Thursday or Friday | 10/22 Sent drawings to get reviewed.  Need to finish procedures.  Trying to push to later next week. | 10/202 Working on procedure and drawings.  trying to put together equipment and a crew. | 10/18 3 men crew.  Need to organize with upcoming Entergy work.  Pat and Greg can do this one next week.  Charles P. may be available. | 10/13 Still on track for end of october. | 10/6 Looking llike end of October. | 10/4 Waiting to confirm that it has pushed a couple weeks. | 9/27 LLOG making changes causing to push. | 9/20 added pressure testing.  Create PWP for the work. | 8/25 Likely to push to mid-october.  Serious mods on the skid. | 8/18 September. | 6/28 Changed some things on the skid and pushed to September. | 6/25 no update | 6/18 Pushed to September. | 6/9 In fabrication
202935,Upcoming Project,BHP Shenzi -Topside Flush,Topside equipemnt flush and test ,April,Greg L,,,,"3/14 April 17 mobe. | 3/11 Working through deliverables. | 3/7 Added scope.  Just got all the information late on Friday.  Will work on deliverables this week. | 3/4 Waiting on new drawings to start on procedures.   | 3/2 adding in more scope of work.  Will be working on deliverables for that. | 2/28 All deliverables submitted.  Waiting to approve PWPs.  Once approved, theyll set up dates for HAZIDS.   | 2/25 Waiting on confirmation of deliverables and mobe. | 2/23 No update | 2/18 all deliverables have been submitted.  Waiting on comments. | 2/7 Working through PM&E phase.  Mtgs every Tuesday. | 2/4 Waiting on a couple things from them.  sending them deliverables again.  Meetings every 2 weeks. | 2/2 Should be in April. | 1/31 Greg still working on a few deliverables. | 1/28 Working on deliverables.  Has most of it done.  Fine tuning a couple items. | 1/26 Greg still working on delvierables. | 1/24 Meeting with them on Tuesday. | 1/21 May be end of April | 1/17 HAd a meeting on Friday.  Need to re-do some of the drawings.  Will get that to them.  Progress meeting tomorrow at 14:00. | 1/14 Submitted deliverables. Setting up update call every 2 weeks | 1/12 Working on deliverables.  Should have them out today. | 1/10 Greg working on deliverables.   | 1/07 Submitting proedures and drawings.  Will happen. | 12/15 Meeting next monday | 12/13 Verbally awarded project.  Waiting on PO.","3/14 April 17 mobe. | 3/11 Working through deliverables. | 3/7 Added scope.  Just got all the information late on Friday.  Will work on deliverables this week. | 3/4 Waiting on new drawings to start on procedures.   | 3/2 adding in more scope of work.  Will be working on deliverables for that. | 2/28 All deliverables submitted.  Waiting to approve PWPs.  Once approved, theyll set up dates for HAZIDS.   | 2/25 Waiting on confirmation of deliverables and mobe. | 2/23 No update | 2/18 all deliverables have been submitted.  Waiting on comments. | 2/7 Working through PM&E phase.  Mtgs every Tuesday. | 2/4 Waiting on a couple things from them.  sending them deliverables again.  Meetings every 2 weeks. | 2/2 Should be in April. | 1/31 Greg still working on a few deliverables. | 1/28 Working on deliverables.  Has most of it done.  Fine tuning a couple items. | 1/26 Greg still working on delvierables. | 1/24 Meeting with them on Tuesday. | 1/21 May be end of April | 1/17 HAd a meeting on Friday.  Need to re-do some of the drawings.  Will get that to them.  Progress meeting tomorrow at 14:00. | 1/14 Submitted deliverables. Setting up update call every 2 weeks | 1/12 Working on deliverables.  Should have them out today. | 1/10 Greg working on deliverables.   | 1/07 Submitting proedures and drawings.  Will happen. | 12/15 Meeting next monday | 12/13 Verbally awarded project.  Waiting on PO."
202943,Upcoming Project,BHP Shenzi - Umbilical Displacements,Umbilcial displacments ,April,Greg L,,,,2/7 See 202935 | 1/31 Draft workplan.  Should forward over today or tomorrow.  Scheduled update meeting tomorrow. | 1/28 Have everything we need to get started on workplan. | 1/26 Starting working on procedure and other deliverables today. | 1/24 Greg finalizing deliverables. | 1/10 Confirmed BlueFin doing work.  Will be after topsides and de-oiling of pipeline.,2/7 See 202935 | 1/31 Draft workplan.  Should forward over today or tomorrow.  Scheduled update meeting tomorrow. | 1/28 Have everything we need to get started on workplan. | 1/26 Starting working on procedure and other deliverables today. | 1/24 Greg finalizing deliverables. | 1/10 Confirmed BlueFin doing work.  Will be after topsides and de-oiling of pipeline.
202964,Upcoming Project,AGI Industries-Shell Mars Methanol skid flushing,Systems filtration,End of February,Greg L,,,,3/7 No update. | 2/28 No update. | 2/25 Waiting on mobe. | 2/23 No update | 2/7 2-3 weeks before mobe. | 2/4 No update. | 1/28 End of february. | 1/26 waiting to hear | 1/24 Probably will push into February. | 1/21 Need update.,3/7 No update. | 2/28 No update. | 2/25 Waiting on mobe. | 2/23 No update | 2/7 2-3 weeks before mobe. | 2/4 No update. | 1/28 End of february. | 1/26 waiting to hear | 1/24 Probably will push into February. | 1/21 Need update.
202416,Ongoing Project,Kiewit Cameron,Dry Gas Seal Flushing,2022-05-14 00:00:00,Mike D,,,,"3/14 Still should finish wednesday.  Will be there a couple more days after for the AMine neutralization. | 3/11 Should finish wednesday/thursday. | 3/9 Should finish on the 16th. | 3/7 on track to finish around 3/16. | 3/4 Ongoing. | 3/2 Ongoing.  Should be 14-15 more days. | 2/25 Rolling along. | 2/23 Mike D was out there yesterday.  2.5 week sleft.  May be more work. | 2/21 Ongoing | 2/18 Moving along well | 2/14 ongoing | 2/9 Ongoing | 2/7  Finish the middle of March.  Working on 4of 4. | 2/4 Ongoing | 1/31 Ongoing | 1/28 Ongoing | 1/26 Ongoing | 1/24 Ongoing.  All good. | 1/17 Ongoing.  MAking personnel changes on Friday. | 1/14 Moving along.  Change order request sent this morning. | 1/12 Ongoing.  Sent change order info to finish.  Should hear back soon.  Should finish around 3/13 | 1/07 May get lube oil flushing work from Gaubert. | 1/05 Went back yesterday.  Should have another 10 weeks. | 12/22 Ongoing.  Working half a day tomorrow, with days off this week and next for holiday and then back to normal schedule after new years. | 12/15 Ongoing | 12/10 Giving a couple guys some days off. | 12/8 Ongoing. MRC compressors currently.  11 left, 11 weeks worth of work remainig. | 12/3 Guys are back ou there this week | 12/1 Kiewit contact left.  David Mirabella (former GATE and BigFoot guys) is now in the seat.   | 11/29 Mobilized back this morning.  14 more MRC compressors to flush.   | 11/17 Off Thursday, friday, saturday for holiday. | 11/15 Ongoing.  Mike went down there to take Ben's place for a couple days. | 11/12 Mike Ds did site audit yesterday.  All good.  Potential for additional work but not yet confirmed. | 11/10 Ongoing.  Mike Ds site visit today | 11/8 Ongoing.  Few months lelft | 11/5 Ongoing.  Boiloff gas compressor A  (6 or 7 of 24) | 11/3 Ongoing | 11/1 first of 2 boil off gas compressors.  Started flushing an hour ago | 10/29 ongoing | 10/27 Crew went back but they shut them down for weather | 10/25 Came to a stopping point.  TAking off today and tomorrow and going back on Wednesday. | 10/22 Trying to get filter cannister back so can return HVU. | 10/20 Still ongoing.  Pump went down and returned.  Looking at options. | 10/18 Finishing 6th/starting 7th today. | 10/15 On 6th compressor.  Looking like we'll be getting more work out of that.  May need to swap out guys. | 10/13 Ongoing | 10/8 Swapping guys out. | 10/6 Ongoing | 9/27 Ongoing | 9/20 May be picking up extra work. | 9/17 Ongoing.  | 9/15 Ongoing.  Starting on second compressor | 9/8 Ongoing | 9/3 Finish rigging up today.  Off this weekend and start back on Tuesday. | 9/1 Starting today | 8/27 Pre-job now and orientation on monday | 8/25 Loading now.  Heading there monday for training.  Start right after that.  5 man crew.  Will need to plan a rotation for personnel. | 8/23 Orientation next Monday.  Need personnel sharing.  Supervisor (Ben Hatcher) starting today will work on this.   | 8/20  More equipment to be sent by the 23rd  Personnel to follow.  Drawings are being sent to Kiewit today. | 8/18 Mike is traveling there now to dop equipment. | 8/16 Supposed to send equipment there tomorrow.   | 8/4 Expected to start 8/16.  Need to ID crew.  Mike +4 people. | 8/2 Received award Friday.  Ducky working on indemnification issues before we get PO.  Procedures due Wed.  Mike :( | 7/30 Will check on PO today. | 7/28 Havent heard from them.  Owe them some procedures. | 7/23 Visited site yesterday.  Award next week.  Need procedures quickly.  Start second week of August. | 7/19 Trying to meet with Todd McManus this week.","3/14 Still should finish wednesday.  Will be there a couple more days after for the AMine neutralization. | 3/11 Should finish wednesday/thursday. | 3/9 Should finish on the 16th. | 3/7 on track to finish around 3/16. | 3/4 Ongoing. | 3/2 Ongoing.  Should be 14-15 more days. | 2/25 Rolling along. | 2/23 Mike D was out there yesterday.  2.5 week sleft.  May be more work. | 2/21 Ongoing | 2/18 Moving along well | 2/14 ongoing | 2/9 Ongoing | 2/7  Finish the middle of March.  Working on 4of 4. | 2/4 Ongoing | 1/31 Ongoing | 1/28 Ongoing | 1/26 Ongoing | 1/24 Ongoing.  All good. | 1/17 Ongoing.  MAking personnel changes on Friday. | 1/14 Moving along.  Change order request sent this morning. | 1/12 Ongoing.  Sent change order info to finish.  Should hear back soon.  Should finish around 3/13 | 1/07 May get lube oil flushing work from Gaubert. | 1/05 Went back yesterday.  Should have another 10 weeks. | 12/22 Ongoing.  Working half a day tomorrow, with days off this week and next for holiday and then back to normal schedule after new years. | 12/15 Ongoing | 12/10 Giving a couple guys some days off. | 12/8 Ongoing. MRC compressors currently.  11 left, 11 weeks worth of work remainig. | 12/3 Guys are back ou there this week | 12/1 Kiewit contact left.  David Mirabella (former GATE and BigFoot guys) is now in the seat.   | 11/29 Mobilized back this morning.  14 more MRC compressors to flush.   | 11/17 Off Thursday, friday, saturday for holiday. | 11/15 Ongoing.  Mike went down there to take Ben's place for a couple days. | 11/12 Mike Ds did site audit yesterday.  All good.  Potential for additional work but not yet confirmed. | 11/10 Ongoing.  Mike Ds site visit today | 11/8 Ongoing.  Few months lelft | 11/5 Ongoing.  Boiloff gas compressor A  (6 or 7 of 24) | 11/3 Ongoing | 11/1 first of 2 boil off gas compressors.  Started flushing an hour ago | 10/29 ongoing | 10/27 Crew went back but they shut them down for weather | 10/25 Came to a stopping point.  TAking off today and tomorrow and going back on Wednesday. | 10/22 Trying to get filter cannister back so can return HVU. | 10/20 Still ongoing.  Pump went down and returned.  Looking at options. | 10/18 Finishing 6th/starting 7th today. | 10/15 On 6th compressor.  Looking like we'll be getting more work out of that.  May need to swap out guys. | 10/13 Ongoing | 10/8 Swapping guys out. | 10/6 Ongoing | 9/27 Ongoing | 9/20 May be picking up extra work. | 9/17 Ongoing.  | 9/15 Ongoing.  Starting on second compressor | 9/8 Ongoing | 9/3 Finish rigging up today.  Off this weekend and start back on Tuesday. | 9/1 Starting today | 8/27 Pre-job now and orientation on monday | 8/25 Loading now.  Heading there monday for training.  Start right after that.  5 man crew.  Will need to plan a rotation for personnel. | 8/23 Orientation next Monday.  Need personnel sharing.  Supervisor (Ben Hatcher) starting today will work on this.   | 8/20  More equipment to be sent by the 23rd  Personnel to follow.  Drawings are being sent to Kiewit today. | 8/18 Mike is traveling there now to dop equipment. | 8/16 Supposed to send equipment there tomorrow.   | 8/4 Expected to start 8/16.  Need to ID crew.  Mike +4 people. | 8/2 Received award Friday.  Ducky working on indemnification issues before we get PO.  Procedures due Wed.  Mike :( | 7/30 Will check on PO today. | 7/28 Havent heard from them.  Owe them some procedures. | 7/23 Visited site yesterday.  Award next week.  Need procedures quickly.  Start second week of August. | 7/19 Trying to meet with Todd McManus this week."
202857,Ongoing Project,Kiewit Cameron,Amine Degreasing,2022-01-09 00:00:00,Mike D,,,,"3/11 Left 45 minutes ago.  Found out that they want us to neutralize the waste.  Will do that next week. | 3/9 Breaking down today and tomorrow. | 3/7 Should finish up Friday/Saturday and back in 3 weeks. | 3/4 Getting close to finishing. | 3/2 Mike heading down there today.  They are wanting to test the TSP levels.  Will likely be a month or so before the next flush once this one is done. | 2/28 Ongoing. | 2/25 Met with Kiewitt yesterdayr.  Finalized procedures.  Started degreasing.  Probably be another week. | 2/23 Met with Cody yesterday.  very happy with MAx and Armando.  Will award additional work. | 2/21 Ongoing. | 2/18 Worked through pump issues.  Rolling along pretty good. | 2/16 Pump issues.  Got new pumps out yesterday.  Mixing equipment shipping friday. | 2/14 One of the pumps went down.  Replacement heading their way.  Stuart Sevenson will be sending a guy down there today. | 2/9 Changed his rig up so had to send some extra hoses. | 2/7 Expedited mobilization, team worked well together and met the request of the client with favorable results.  Kudos to Armando, Pat, Brady, Greg, Mike in the deer stand.","3/11 Left 45 minutes ago.  Found out that they want us to neutralize the waste.  Will do that next week. | 3/9 Breaking down today and tomorrow. | 3/7 Should finish up Friday/Saturday and back in 3 weeks. | 3/4 Getting close to finishing. | 3/2 Mike heading down there today.  They are wanting to test the TSP levels.  Will likely be a month or so before the next flush once this one is done. | 2/28 Ongoing. | 2/25 Met with Kiewitt yesterdayr.  Finalized procedures.  Started degreasing.  Probably be another week. | 2/23 Met with Cody yesterday.  very happy with MAx and Armando.  Will award additional work. | 2/21 Ongoing. | 2/18 Worked through pump issues.  Rolling along pretty good. | 2/16 Pump issues.  Got new pumps out yesterday.  Mixing equipment shipping friday. | 2/14 One of the pumps went down.  Replacement heading their way.  Stuart Sevenson will be sending a guy down there today. | 2/9 Changed his rig up so had to send some extra hoses. | 2/7 Expedited mobilization, team worked well together and met the request of the client with favorable results.  Kudos to Armando, Pat, Brady, Greg, Mike in the deer stand."
203147,Ongoing Project,Kiewit Cameron,Seal pot flush,Feb/Mar,Mike D,,,,3/14 waiting on ticket approval. | 3/7 Owe reports and finalized tickets. | 3/4 Will move equipment next to dry seal gas equipment and demobe all together. | 3/2 May have more work | 2/28 Finished up today.  May or may not ship equipment back based on possible other work. | 2/25 Started on 1st and 2nd of 6.  Moving along | 2/23 Started on Friday.  Ongoing.,3/14 waiting on ticket approval. | 3/7 Owe reports and finalized tickets. | 3/4 Will move equipment next to dry seal gas equipment and demobe all together. | 3/2 May have more work | 2/28 Finished up today.  May or may not ship equipment back based on possible other work. | 2/25 Started on 1st and 2nd of 6.  Moving along | 2/23 Started on Friday.  Ongoing.
203189,Ongoing Project,Callan Marine,Hydraulic System Flushing,2022-02-07 00:00:00,Mike D,NA,,,3/14 Will start tomorrow. | 3/11 Starting Monday for 10 days.,3/14 Will start tomorrow. | 3/11 Starting Monday for 10 days.
202769,Upcoming Project,JAX LNG,LO Flush & Amine Sys Degrease,April,Mike D,,,,"3/9 Mike making a trip in the next couple weeks. | 3/7 Mid to late April. | 2/28 on hold. | 2/25 Submitted revised proposal.  Mid April. | 2/23 Owe them another bid today. | 2/7 Inquiry from JAX LNG directly.  Sent quotes again. | 1/31 on hold | 1/28 Putting a general bid together  | 1/07 Financial issues on project.  Will be pushed if it happens at all. | 1/05 Our contact is leaving the project. | 12/22 No update. | 12/10 No update | 12/8 Early January. | 12/6 No update. | 12/1 Early January | 11/29 Checking with RT this week. | 11/19 no update | 11/17 No update. | 11/15 Pushed  | 11/12 Added acidizing on lube oil cooler.  Start should be 12/7 earliest, but likely after christmas | 11/10 No update | 11/8 EArliest will be 12/7 but since we had been there construction crew still hadnt gotten to Amine System.  Could be after new years before they get to it. | 11/5 Talked to them yesterday.  Needs a bid revision, but wait until he details what he needs.  Talked to bosses and its  a $ issue.  MAy get pushed to JAnuary. | 11/3 No update.  Probaly be the entire month of December with Holiday off. | 11/1 Same | 10/27 sent out 2 revised bids.  Being reviewed | 10/25 Will start week after thanksgiving.","3/9 Mike making a trip in the next couple weeks. | 3/7 Mid to late April. | 2/28 on hold. | 2/25 Submitted revised proposal.  Mid April. | 2/23 Owe them another bid today. | 2/7 Inquiry from JAX LNG directly.  Sent quotes again. | 1/31 on hold | 1/28 Putting a general bid together  | 1/07 Financial issues on project.  Will be pushed if it happens at all. | 1/05 Our contact is leaving the project. | 12/22 No update. | 12/10 No update | 12/8 Early January. | 12/6 No update. | 12/1 Early January | 11/29 Checking with RT this week. | 11/19 no update | 11/17 No update. | 11/15 Pushed  | 11/12 Added acidizing on lube oil cooler.  Start should be 12/7 earliest, but likely after christmas | 11/10 No update | 11/8 EArliest will be 12/7 but since we had been there construction crew still hadnt gotten to Amine System.  Could be after new years before they get to it. | 11/5 Talked to them yesterday.  Needs a bid revision, but wait until he details what he needs.  Talked to bosses and its  a $ issue.  MAy get pushed to JAnuary. | 11/3 No update.  Probaly be the entire month of December with Holiday off. | 11/1 Same | 10/27 sent out 2 revised bids.  Being reviewed | 10/25 Will start week after thanksgiving."
