FC_Number,Status,Client_Project,Job_Description,Expected_Start_End,PM,Trucks,Trailers,New_Comments,Previous_Comments_1,Previous_Comments_2
202378,Projects Returned - Invoicing Stage,Danos/Shell Auger - Land,Flushing and testing Surface Accumulators,ongoing,Greg L,,,,8/16 Still want equipment by friday.  Seems unlikely | 8/4 CoVid issues.  Mobilization changing.  Not next week for sure. | 8/2 Sent back 5 spools already flushed due to cutting and welding again.  Should be finished with them on Wed morning. | 7/30 re-do 7 spool pieces.  Not sure when we will get them here. | 7/28 Had to re-do 7 spool pieces.  Will pig and flush. | 7/26 Complete | 7/21 Flushing now.  Shouldl be done by noon tomorrow. | 7/19 2 guys in shop. Pat preparing for this. | 7/12 Should receive piping late this week/early next week to begin flulshing. | 6/25 on schedule | 6/18 Sending us the piping 7/1.  Offshore scope ~7/31. | 6/9 No real update,8/16 Still want equipment by friday.  Seems unlikely | 8/4 CoVid issues.  Mobilization changing.  Not next week for sure. | 8/2 Sent back 5 spools already flushed due to cutting and welding again.  Should be finished with them on Wed morning. | 7/30 re-do 7 spool pieces.  Not sure when we will get them here. | 7/28 Had to re-do 7 spool pieces.  Will pig and flush. | 7/26 Complete | 7/21 Flushing now.  Shouldl be done by noon tomorrow. | 7/19 2 guys in shop. Pat preparing for this. | 7/12 Should receive piping late this week/early next week to begin flulshing. | 6/25 on schedule | 6/18 Sending us the piping 7/1.  Offshore scope ~7/31. | 6/9 No real update
202274,Projects Returned - Invoicing Stage,PES - Hydroblasting  Phase #3,PAU Skid Pipe Spool Hydro Blasting,#rd phase Aug 2,Mike D,,,,"8/4 Mike working on tickets with Tamara. | 8/2 Keith, Zack, and Royal out today. | 7/30 Monday-Tuesday of next week. | 7/28 Next week.   | 7/26 Still next week.  Monday-Wednesday. | 7/23 Phase 3 looking like august 2. | 7/19  SHould be in next couple weeks.  Preservation powder one additional day. | 7/12 There now to blow powder in the pipe for transit. | 7/7 Will go and blow powder in the pipe on Monday.  Going back for 3rd mobe in late July | 7/2 SEcond mobe complete.  third mobe to be in August. | 6/30 Should be inspecting now and finishing today for PHase 2.6/28 Equipment not there yet. | 6/25 2nd mobe monday; Need to rent two single pod filters and air pumps | 6/18 Second mobe moved to 30th. | 6/9 Second mobe pushed to end of June around the 28th | 6/2 PES changed 2nd phase start to June 21                                                                                     5/28 Completed first phase.  Tickets submitted.  June 14 second mobe. | 5/24 starting today.  Should be done Wednesday. | 5/21 First mobe on 5/24.  Second mobe tentative 6/15 and third mobe tentative 7/8. | 5/17 Possibly starting 5/19.  Need to touch base","8/4 Mike working on tickets with Tamara. | 8/2 Keith, Zack, and Royal out today. | 7/30 Monday-Tuesday of next week. | 7/28 Next week.   | 7/26 Still next week.  Monday-Wednesday. | 7/23 Phase 3 looking like august 2. | 7/19  SHould be in next couple weeks.  Preservation powder one additional day. | 7/12 There now to blow powder in the pipe for transit. | 7/7 Will go and blow powder in the pipe on Monday.  Going back for 3rd mobe in late July | 7/2 SEcond mobe complete.  third mobe to be in August. | 6/30 Should be inspecting now and finishing today for PHase 2.6/28 Equipment not there yet. | 6/25 2nd mobe monday; Need to rent two single pod filters and air pumps | 6/18 Second mobe moved to 30th. | 6/9 Second mobe pushed to end of June around the 28th | 6/2 PES changed 2nd phase start to June 21                                                                                     5/28 Completed first phase.  Tickets submitted.  June 14 second mobe. | 5/24 starting today.  Should be done Wednesday. | 5/21 First mobe on 5/24.  Second mobe tentative 6/15 and third mobe tentative 7/8. | 5/17 Possibly starting 5/19.  Need to touch base"
202421,Projects Returned - Invoicing Stage,BP Argos ,Ballast Pigging and Flushing,Jun 17th | end-7/7,Mike D,,,,"8/4 Equipment in last night.  A few rental items on site, all personnel off site.   Pat giving Dusty a quote on equipment that remains out.  Dolly unit+. | 8/2 Finishing tomorrow. Demobilzation of personnel.  Some equipment staying.  Max will send a list on what is being kept on site/rent. | 7/30 Should be wrapping up the 4th/5th.  Downsizing crew Sunday.  Definitely contract guys.  Possibly a couple BF guys | 7/28 Covid issues. 2 Guys in quarantine.  Adam will stay until quarantines are up. | 7/26 On going.  Contract labor times submitted.  Updating last weeks tickets. | 7/23 August 8-10 target completion. | 7/21 Enermech more involved.  Our guys will stay for filtration and sampling. | 7/19 Greg down in Ingleside to assess project.  To call Mike D with findings after lunch. | 7/12 Flushing ongoing.  Adding in equipment and fittings to prepare to flush more systems at once. | 7/9 Bringing a pump to Ingleside today. | 7/2 Changing out personnel.  Wes, Teddy and Bailey leaving tonight. | 6/30  Louis returning for vacation.  Wes, Bailey, Teddy leaving Saturday.  Charles B, Raymond, and Adam going for drug screen and orientation tomorrow/Friday.  Need to adjust set up due to friction losses in system.  Pat preparing short jumpers and tubing to send to Ingleside. | 6/28 Working.  Scope changing.  Need more equipment. | 6/25 ongoing; adding flow meters and fittings | 6/21 Finished pigging 50 lines. | 6/18 Orientation today.  Should start flushing tomorrow. | 6/14 Personnel to conduct drug screening on 6/17, and begin work on 6/18 in Ingleside, Tx                                                                                                                                                      6/11 95% complete with loadout.  Pre-job on Monday morning.  Added second crew.  SIMOPS | 6/9 Proposal sent.  Getting ready for loadout.  Personnel travel Monday.  6 guys.  Should get PO this afternoon.","8/4 Equipment in last night.  A few rental items on site, all personnel off site.   Pat giving Dusty a quote on equipment that remains out.  Dolly unit+. | 8/2 Finishing tomorrow. Demobilzation of personnel.  Some equipment staying.  Max will send a list on what is being kept on site/rent. | 7/30 Should be wrapping up the 4th/5th.  Downsizing crew Sunday.  Definitely contract guys.  Possibly a couple BF guys | 7/28 Covid issues. 2 Guys in quarantine.  Adam will stay until quarantines are up. | 7/26 On going.  Contract labor times submitted.  Updating last weeks tickets. | 7/23 August 8-10 target completion. | 7/21 Enermech more involved.  Our guys will stay for filtration and sampling. | 7/19 Greg down in Ingleside to assess project.  To call Mike D with findings after lunch. | 7/12 Flushing ongoing.  Adding in equipment and fittings to prepare to flush more systems at once. | 7/9 Bringing a pump to Ingleside today. | 7/2 Changing out personnel.  Wes, Teddy and Bailey leaving tonight. | 6/30  Louis returning for vacation.  Wes, Bailey, Teddy leaving Saturday.  Charles B, Raymond, and Adam going for drug screen and orientation tomorrow/Friday.  Need to adjust set up due to friction losses in system.  Pat preparing short jumpers and tubing to send to Ingleside. | 6/28 Working.  Scope changing.  Need more equipment. | 6/25 ongoing; adding flow meters and fittings | 6/21 Finished pigging 50 lines. | 6/18 Orientation today.  Should start flushing tomorrow. | 6/14 Personnel to conduct drug screening on 6/17, and begin work on 6/18 in Ingleside, Tx                                                                                                                                                      6/11 95% complete with loadout.  Pre-job on Monday morning.  Added second crew.  SIMOPS | 6/9 Proposal sent.  Getting ready for loadout.  Personnel travel Monday.  6 guys.  Should get PO this afternoon."
202526,Projects Returned - Invoicing Stage,RCS (environmental BP approved)- ,Methanol tank flushing,2021-08-05 00:00:00,Pat B,,,,8/4 Finishing today. | 8/2 Kevin and Shawn are mobilizing now.   | 7/30 Mobing Monday.  Kevin and Shawn are loading out.  Should finish Tuesday. | 7/28 Will get confirmation tomorrow or Friday. | 7/23 First week in august. | 7/21 Pushed to August 5. | 7/19 Circulating totes on a work boat.  This week.  2 guys.,8/4 Finishing today. | 8/2 Kevin and Shawn are mobilizing now.   | 7/30 Mobing Monday.  Kevin and Shawn are loading out.  Should finish Tuesday. | 7/28 Will get confirmation tomorrow or Friday. | 7/23 First week in august. | 7/21 Pushed to August 5. | 7/19 Circulating totes on a work boat.  This week.  2 guys.
202517,Projects Returned - Invoicing Stage,Clean Tank,"Filtrtion of 25,000 gallons of Methanol",August,Pat B,,,,8/9 Going well.  Should be done wednesday/Thursday | 8/4 Starting tomorrow for 1 week duration.  Kevin & Shawn will be on site next week and not available for test at PPS. | 8/2 Pat getting an update from Sean at Clean Tank.  May not be on for Thursday depending on vessel arrival. | 7/28 Pushed | 7/19 2nd week in August | 6/30  Filtering 21k gal of Methanol on July 19th for bhp.,8/9 Going well.  Should be done wednesday/Thursday | 8/4 Starting tomorrow for 1 week duration.  Kevin & Shawn will be on site next week and not available for test at PPS. | 8/2 Pat getting an update from Sean at Clean Tank.  May not be on for Thursday depending on vessel arrival. | 7/28 Pushed | 7/19 2nd week in August | 6/30  Filtering 21k gal of Methanol on July 19th for bhp.
202378,Projects Returned - Invoicing Stage,Danos/Shell Auger,Offshore,2021-09-17 00:00:00,Pat B,,,,"10/8 Equipment back yesterday | 10/6 Equipment will be back next week. | 10/4 Complete.  Came in yesterday. | 10/1 added scope.  Will probably be out until mid-next week | 9/29 Piping is leaking.  Probably stay a few more days | 9/27 Should finish in the next couple of days. | 9/20 Started yesterday.  Should be out another week.  | 9/17 Mobing out tomorrow out of Galveston | 9/15 Mobing 9/18 | 9/8 Possibly mobing on 9/16.  Only 2 people becuase of POB | 9/3 Havent heard anything since Ida. | 9/1 Will reach out today.   | 8/27 Crew came in last night.  Not sure on return date | 8/25 Offshore now.  Rigged up and started going over procedure.  shell stopped them and said they wont be ready for another 5 days.   | 8/23 CoVid issues.  Kevin +1 transferring to platform today.  Delay in schedule.  Client not ready for work from BlueFin yet. | 8/20 Equipment shipped yesterday.  Personnel quarantining.  CoVid test Sat.  Offshore Sunday.  KEvin and 2 US contractors. | 8/18 Shell coming in this afternoon for inspection.  3 day quarantine starting tomorrow for personnel. | 8/9 Delayed due to Covid. | 8/4 Greg to lead.  Crew needs ID'ing. | 8/2  Offshore scheduled Aug 10th, but will likely push.  Obtaining update mid week.  Greg finished the load out workbook.  Load out in progress.  Pat mtg. with Johnny on personnel (United Subsea). | 7/30 Likely to push to mid August. | 7/28 Havent pushed officially yet, but looks like it will. | 7/23 First week of August","10/8 Equipment back yesterday | 10/6 Equipment will be back next week. | 10/4 Complete.  Came in yesterday. | 10/1 added scope.  Will probably be out until mid-next week | 9/29 Piping is leaking.  Probably stay a few more days | 9/27 Should finish in the next couple of days. | 9/20 Started yesterday.  Should be out another week.  | 9/17 Mobing out tomorrow out of Galveston | 9/15 Mobing 9/18 | 9/8 Possibly mobing on 9/16.  Only 2 people becuase of POB | 9/3 Havent heard anything since Ida. | 9/1 Will reach out today.   | 8/27 Crew came in last night.  Not sure on return date | 8/25 Offshore now.  Rigged up and started going over procedure.  shell stopped them and said they wont be ready for another 5 days.   | 8/23 CoVid issues.  Kevin +1 transferring to platform today.  Delay in schedule.  Client not ready for work from BlueFin yet. | 8/20 Equipment shipped yesterday.  Personnel quarantining.  CoVid test Sat.  Offshore Sunday.  KEvin and 2 US contractors. | 8/18 Shell coming in this afternoon for inspection.  3 day quarantine starting tomorrow for personnel. | 8/9 Delayed due to Covid. | 8/4 Greg to lead.  Crew needs ID'ing. | 8/2  Offshore scheduled Aug 10th, but will likely push.  Obtaining update mid week.  Greg finished the load out workbook.  Load out in progress.  Pat mtg. with Johnny on personnel (United Subsea). | 7/30 Likely to push to mid August. | 7/28 Havent pushed officially yet, but looks like it will. | 7/23 First week of August"
202779,Projects Returned - Invoicing Stage,Beacon - Talos LDHI Day Tank Flush,Flush the day tank and LDHI chemical,2021-10-12 00:00:00,Greg L,,,,10/25 Sent ticket for approval. | 10/20 Equipment returned this morning. | 10/18 Came in Saturday.  Waiting on equipment. | 10/15 Should be flying in on Sunday.  Went well. | 10/13 Started flushing today. Made changes to the procedure. | 10/4 Shipping equipmet on Friday.  Mobe personnel on Monday. | 10/1 Reveived PO yesterday. | 9/29 Revised proposal.  Should be issuing a PO shortly,10/25 Sent ticket for approval. | 10/20 Equipment returned this morning. | 10/18 Came in Saturday.  Waiting on equipment. | 10/15 Should be flying in on Sunday.  Went well. | 10/13 Started flushing today. Made changes to the procedure. | 10/4 Shipping equipmet on Friday.  Mobe personnel on Monday. | 10/1 Reveived PO yesterday. | 9/29 Revised proposal.  Should be issuing a PO shortly
202802,Projects Returned - Invoicing Stage,GIS - Shell Appomatox Turbine Flush,720 turbine and water flodd pump system,2021-12-15 00:00:00,Mike D,,,," | 1/12 Sent them explanation of increase of PO and will process. | 1/05 Complete.  Equipment is back.  Tote rental but will be on another job number | 12/22 Reinstating today.  Should finish tomorrow but may not have a flight until Sunday. | 12/15 En route to heliport. | 12/10 Inspection today.  Shipping next week.  Crew mobilizing next week. | 12/8 Equipment inspection Thursday morning.  Crew mobilizing Wednesday. | 12/6 Loading out now.  Inspector will come over next week to go through everything and sign off for shipment | 12/3 Loading now. Mobing on the 15th. | 12/1 Contacted yesterday.  Waiting on response.  Equip. leaving on 8th after 3rd party inspection.  Will need vaccines by Jan. 1st. | 11/29 Prepping.  Dec. 15th still active. | 11/19 Mobing on 12/15, back on or around the 22nd.   | 11/17 Need to set date for Shell inpsector. | 11/15 No update.   | 11/12 Pushed to december 15th.   | 11/8 Pushed to 12/1.  Turbine installation crew will be there. | 11/5 Loading out now.  Equipment leaving next week.  Personnel leaving on the 17th. | 11/3 As of now, plan is to ship equipment on the 8th and personnel on the 17th. | 11/1 Waiting on getting new fVU's.  wAiting on valves.  should be tested and ready by end of the week. | 10/29 Still want to mobe on the 17th.  Asked to ship equipment on the 8th. | 10/27 Preppring | 10/25 Still 11/17. | 10/15 Pushed to 11/17. | 10/13 Pushed to late november/early december. | 10/8 Pushed to November 3 | 10/6 Shipping equipment next friday | 10/1 Mobilizing around 10/20   Added scope. | 9/24 Trying to decide mobilization.  Maybe Oct 20th."," | 1/12 Sent them explanation of increase of PO and will process. | 1/05 Complete.  Equipment is back.  Tote rental but will be on another job number | 12/22 Reinstating today.  Should finish tomorrow but may not have a flight until Sunday. | 12/15 En route to heliport. | 12/10 Inspection today.  Shipping next week.  Crew mobilizing next week. | 12/8 Equipment inspection Thursday morning.  Crew mobilizing Wednesday. | 12/6 Loading out now.  Inspector will come over next week to go through everything and sign off for shipment | 12/3 Loading now. Mobing on the 15th. | 12/1 Contacted yesterday.  Waiting on response.  Equip. leaving on 8th after 3rd party inspection.  Will need vaccines by Jan. 1st. | 11/29 Prepping.  Dec. 15th still active. | 11/19 Mobing on 12/15, back on or around the 22nd.   | 11/17 Need to set date for Shell inpsector. | 11/15 No update.   | 11/12 Pushed to december 15th.   | 11/8 Pushed to 12/1.  Turbine installation crew will be there. | 11/5 Loading out now.  Equipment leaving next week.  Personnel leaving on the 17th. | 11/3 As of now, plan is to ship equipment on the 8th and personnel on the 17th. | 11/1 Waiting on getting new fVU's.  wAiting on valves.  should be tested and ready by end of the week. | 10/29 Still want to mobe on the 17th.  Asked to ship equipment on the 8th. | 10/27 Preppring | 10/25 Still 11/17. | 10/15 Pushed to 11/17. | 10/13 Pushed to late november/early december. | 10/8 Pushed to November 3 | 10/6 Shipping equipment next friday | 10/1 Mobilizing around 10/20   Added scope. | 9/24 Trying to decide mobilization.  Maybe Oct 20th."
202964,Projects Returned - Invoicing Stage,AGI Industries - Shell Mars,Flushing two Meoth skids to a NAS -8 for Shell Mars,Mid- Jan 22,Greg L,,,,1/17 Will get an update today. | 1/14 Will have a better update on Monday. | 1/12 should be done in the next couple weeks. | 12/22 Not ready yet | 12/08 - Awarded,1/17 Will get an update today. | 1/14 Will have a better update on Monday. | 1/12 should be done in the next couple weeks. | 12/22 Not ready yet | 12/08 - Awarded
202975,Projects Returned - Invoicing Stage,Talos,,,Greg L,,,,1/05 Job is done.  Waiting on approval for tickets. | 12/22 Standby.  Not sure what they want to do with the methanol.   | 12/20/2021 Finishing up tonight,1/05 Job is done.  Waiting on approval for tickets. | 12/22 Standby.  Not sure what they want to do with the methanol.   | 12/20/2021 Finishing up tonight
202860,Projects Returned - Invoicing Stage,Hose Source - BP thunderhorse,Initial and NAS flush 5 production hoses to a NAS 6,Jan 4th,Pat B,,,,1/17 Should finish this afternoon or tomorrow morning. | 1/14 Cleaning now.  Should be done today. | 1/12 Picked up chemical yesterday.  Should clean those this week. | 1/05 Waiting on chemical. | 12/22  | 12/10 Getting a pale of chemical. | 12/08 - Standby,1/17 Should finish this afternoon or tomorrow morning. | 1/14 Cleaning now.  Should be done today. | 1/12 Picked up chemical yesterday.  Should clean those this week. | 1/05 Waiting on chemical. | 12/22  | 12/10 Getting a pale of chemical. | 12/08 - Standby
202752,Projects Returned - Invoicing Stage,PES,Hydroblasting,On going,Greg L/Mike D,,,,1/28 Getting started on Monday.  Waiting on deliverables and spool pieces. | 1/21 Completed yesterday. | 1/17 Pushed to Wednesday. | 1/14 Starting Tuesday. | 1/12 Next Tuesday.,1/28 Getting started on Monday.  Waiting on deliverables and spool pieces. | 1/21 Completed yesterday. | 1/17 Pushed to Wednesday. | 1/14 Starting Tuesday. | 1/12 Next Tuesday.
203048,Projects Returned - Invoicing Stage,PES-SBM Spool pieces,Pickling and Passivation- Shop,Ongoing,Greg L,,,,2/9 Completed and shipping back. | 2/7 Will be done this week. | 2/4 Finishing up one job getting ready to start on a second one.  Should finish that one by Wednesday. | 2/2 Should finish today or tomorrow. | 1/31 Getting started today,2/9 Completed and shipping back. | 2/7 Will be done this week. | 2/4 Finishing up one job getting ready to start on a second one.  Should finish that one by Wednesday. | 2/2 Should finish today or tomorrow. | 1/31 Getting started today
202869,Projects Returned - Invoicing Stage,BHP - Shenzi Methanol Panel,Methanol expansion panel,2021-11-08 00:00:00,Greg L,,,,11/19 Completed | 11/17 Finished up pressure testing.  Conference call today for offshore work. | 11/15 Heading down there tomorrow to start. | 11/12 Will be starting monday | 11/10 Following other job | 11/8 Will follow energy solutinos | 11/5 Should happen after dome patrol. | 11/1 next week sometime. | 10/27 Should start when dome patrol is finishing,11/19 Completed | 11/17 Finished up pressure testing.  Conference call today for offshore work. | 11/15 Heading down there tomorrow to start. | 11/12 Will be starting monday | 11/10 Following other job | 11/8 Will follow energy solutinos | 11/5 Should happen after dome patrol. | 11/1 next week sometime. | 10/27 Should start when dome patrol is finishing
202981,Lost Work,Shell Stones,Glycol Flush,March,Mike D,,,,3/9 Cancelled. | 3/7 Having consternation due to lack of response. | 3/4 No update. | 3/2 Had a call on Monday. | 2/28 Looking like mid March. | 2/25 Waiting on mobe. | 2/23 8 guys for about a week offshore. | 2/7 Mid March; sent schedule last week; rinsing vs cleaning due to TAR schedule. | 2/4 No update. | 1/31 No update. | 1/28 Deliverables.  Mike on call with them now. | 1/26 no change | 1/24 Requested  contact information.  Will do a flush on the unit.  Do not want to do an extensive flush. | 1/21 Want to do a glycol flush.  Not taking recommendation of full resolution.  Should mobe in couple of weeks. | 1/17 Not really sure when or if the job will happen. | 1/14 Conference call yesterday.  Will happen in March. | 1/10 Conference call Wed. 2:30 to discuss timing (4 days + mobilization/demobilization).,3/9 Cancelled. | 3/7 Having consternation due to lack of response. | 3/4 No update. | 3/2 Had a call on Monday. | 2/28 Looking like mid March. | 2/25 Waiting on mobe. | 2/23 8 guys for about a week offshore. | 2/7 Mid March; sent schedule last week; rinsing vs cleaning due to TAR schedule. | 2/4 No update. | 1/31 No update. | 1/28 Deliverables.  Mike on call with them now. | 1/26 no change | 1/24 Requested  contact information.  Will do a flush on the unit.  Do not want to do an extensive flush. | 1/21 Want to do a glycol flush.  Not taking recommendation of full resolution.  Should mobe in couple of weeks. | 1/17 Not really sure when or if the job will happen. | 1/14 Conference call yesterday.  Will happen in March. | 1/10 Conference call Wed. 2:30 to discuss timing (4 days + mobilization/demobilization).
203036,Lost Work,GATE/Murphy - Kings Quay,Bulk Filtration,On Hold,Pat B,,,,2/9 Waiting to hear what will happen wth the HPU. | 2/7 Bulk filtration likely won't happen.  May be an opp for HPU flush/clean.  It's currently contaminated.  Sample above NAS12 currently. | 2/4 Waiting on Ben to get back with Pat.   | 1/31 On hold.  Talked to Ben Davis last friday.  Have issues with HPU. | 1/28 Still on hold. | 1/26 Talked to Ben Davis.  May send a different fluid.  May send a sample. | 1/24 On hold. | 1/21 Bulk filtration on hold.  Making a decision to filter or buy new EGMB. | 1/17 Waiting on tote tanks to come in. | 1/14 Starting Tuesday. | 1/12 Next Tuesday.,2/9 Waiting to hear what will happen wth the HPU. | 2/7 Bulk filtration likely won't happen.  May be an opp for HPU flush/clean.  It's currently contaminated.  Sample above NAS12 currently. | 2/4 Waiting on Ben to get back with Pat.   | 1/31 On hold.  Talked to Ben Davis last friday.  Have issues with HPU. | 1/28 Still on hold. | 1/26 Talked to Ben Davis.  May send a different fluid.  May send a sample. | 1/24 On hold. | 1/21 Bulk filtration on hold.  Making a decision to filter or buy new EGMB. | 1/17 Waiting on tote tanks to come in. | 1/14 Starting Tuesday. | 1/12 Next Tuesday.
202666,Lost Work,Phillips 66 Beaumont,Hydraulic System Flushing,2021-09-21 00:00:00,Greg L,,,,9/15 Lost | 9/3 sent out revised proposal.   | 9/1 Revising proposal.  REviewing drawing.  New PM. | 8/27 End of september | 8/25 Greg Working on planning.   | 8/20 Still September.  Reviewing drawings early next week to validate proposal. | 8/18 Review all drawings and send them an updated proposal | 8/16 Second phase of another project already performed,9/15 Lost | 9/3 sent out revised proposal.   | 9/1 Revising proposal.  REviewing drawing.  New PM. | 8/27 End of september | 8/25 Greg Working on planning.   | 8/20 Still September.  Reviewing drawings early next week to validate proposal. | 8/18 Review all drawings and send them an updated proposal | 8/16 Second phase of another project already performed
202896,Lost Work,Entergy - mississippi,,2021-11-15 00:00:00,,,,,11/19 Slow | 11/17 Ran into techcnical difficulties.  Safety record issues. | 11/15 Josh and Greg are on their way there now.  Probably get kicked off tomorrow. | 11/12 Leaving out Monday.  Josh and Greg and Mike will head out htere after a few days. | 11/10 Headed down there on Monday. | 11/8Scheduled to start by next Monday. | 11/5 Still looking like the 15th | 11/3 No change.  Weeks worth of work for 3 people | 11/1 3 people.  16 hr Entergy training and confined space entry.,11/19 Slow | 11/17 Ran into techcnical difficulties.  Safety record issues. | 11/15 Josh and Greg are on their way there now.  Probably get kicked off tomorrow. | 11/12 Leaving out Monday.  Josh and Greg and Mike will head out htere after a few days. | 11/10 Headed down there on Monday. | 11/8Scheduled to start by next Monday. | 11/5 Still looking like the 15th | 11/3 No change.  Weeks worth of work for 3 people | 11/1 3 people.  16 hr Entergy training and confined space entry.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
